Model,Accuracy_before,Accuracy_after,Precision_before,Precision_after,Recall_before,Recall_after,F1-score_before,F1-score_after
Logistic Regression,0.9763783989861001,0.7388486465878765,0.717546362339515,0.03658734013275053,0.10286298568507157,0.36973415132924337,0.1799320336254695,0.06658564431186241
Random Forest,0.9765278049685217,0.7530319110570731,0.7593167701863354,0.03695974872534045,0.1,0.35132924335378324,0.17672569569931335,0.0668833823214529
SVM,0.9765123491772367,0.7389207736138731,0.758998435054773,0.036597708594793735,0.09918200408997956,0.36973415132924337,0.17543859649122806,0.06660281441096294
Naive Bayes,0.9762444487949635,0.9762444487949635,0.7368421052631579,0.7368421052631579,0.08875255623721881,0.08875255623721881,0.15842306990326702,0.15842306990326702
