Model,Accuracy_before,Accuracy_after,Precision_before,Precision_after,Recall_before,Recall_after,F1-score_before,F1-score_after
Logistic Regression,0.96432,0.67394,0.9434628975265018,0.05403563129357088,0.06991358994501179,0.4566640481801519,0.13018039980497317,0.09663656009309027
Random Forest,0.96432,0.67394,0.9434628975265018,0.05403563129357088,0.06991358994501179,0.4566640481801519,0.13018039980497317,0.09663656009309027
SVM,0.96432,0.67394,0.9434628975265018,0.05403563129357088,0.06991358994501179,0.4566640481801519,0.13018039980497317,0.09663656009309027
Naive Bayes,0.96405,0.96405,0.9590163934426229,0.9590163934426229,0.061272584446190104,0.061272584446190104,0.1151858232832882,0.1151858232832882
