Model,Accuracy,Precision,Recall,F1-score,Train Time (s)
Logistic Regression,0.7388486465878765,0.03658734013275053,0.36973415132924337,0.06658564431186241,5.043617486953735
Random Forest,0.7530319110570731,0.03695974872534045,0.35132924335378324,0.0668833823214529,141.74678468704224
SVM,0.7389207736138731,0.036597708594793735,0.36973415132924337,0.06660281441096294,471.25408577919006
Naive Bayes,0.9762444487949635,0.7368421052631579,0.08875255623721881,0.15842306990326702,0.11709928512573242
