Model,Accuracy,Precision,Recall,F1-score,Train Time (s)
Logistic Regression,0.67394,0.05403563129357088,0.4566640481801519,0.09663656009309027,3.5365142822265625
Random Forest,0.67394,0.05403563129357088,0.4566640481801519,0.09663656009309027,78.41061067581177
SVM,0.67394,0.05403563129357088,0.4566640481801519,0.09663656009309027,156.78458738327026
Naive Bayes,0.96405,0.9590163934426229,0.061272584446190104,0.1151858232832882,0.07219243049621582
