Model,Accuracy,Precision,Recall,F1-score,Train Time (s)
Logistic Regression,0.96432,0.9434628975265018,0.06991358994501179,0.13018039980497317,3.5799098014831543
Random Forest,0.96432,0.9434628975265018,0.06991358994501179,0.13018039980497317,50.865408420562744
SVM,0.96432,0.9434628975265018,0.06991358994501179,0.13018039980497317,6.806896209716797
Naive Bayes,0.96405,0.9590163934426229,0.061272584446190104,0.1151858232832882,0.05634784698486328
